"Varenr";"Vare_ID";"Variant_ID";"Stregkode";"Variant";"Variant_type";"Variant_tekst"
"PN003";"71758";"71765";"PN004";"D";".";"Pure by NAT - Ørestik bogstav - D"
"PN003";"71758";"71766";"PN005";"F";".";"Pure by NAT - Ørestik bogstav - F"
"PN003";"71758";"71767";"PN006";"G";".";"Pure by NAT - Ørestik bogstav - G"
"PN003";"71758";"71768";"PN007";"H";".";"Pure by NAT - Ørestik bogstav - H"
"PN003";"71758";"71769";"PN010";"P";".";"Pure by NAT - Ørestik bogstav - P"
"PN003";"71758";"71770";"PN011";"T";".";"Pure by NAT - Ørestik bogstav - T"
"PN003";"71758";"71771";"PN012";"U";".";"Pure by NAT - Ørestik bogstav - U"
"PN003";"71758";"71772";"PN013";"V";".";"Pure by NAT - Ørestik bogstav - V"
"45557.02";"71760";"74132";"5740007506116";"GULDBELAGT";".";"Pure by Nat - Kæde ørering m. sten & pendul - Guldbelagt"
"45560.02";"71761";"74133";"5740007506185";"GULDBELAGT";".";"Pure by Nat - Kæde ørering m. sten - Guldbelagt"
"4821601";"71762";"74165";"57400075059801";"GULDBELAGT";".";"Pure by Nat - Ring med Rosa kvarts - Guldbelagt"
"4819701";"71763";"72426";"481970117";"SIZE-17-MM";".";"Pure by NAT - Fingerring Børstet finish - Size 17 mm."
"4819701";"71763";"72427";"481970118";"SIZE-18-MM";".";"Pure by NAT - Fingerring Børstet finish - Size 18 mm."
"";"71773";"71774";"EAN71774";"100 DKK";".";"Digitalt gavekort - 100 DKK"
"";"71773";"71775";"EAN71775";"250 DKK";".";"Digitalt gavekort - 250 DKK"
"";"71773";"71776";"EAN71776";"300 DKK";".";"Digitalt gavekort - 300 DKK"
"";"71773";"71777";"EAN71777";"350 DKK";".";"Digitalt gavekort - 350 DKK"
"";"71773";"71778";"EAN71778";"400 DKK";".";"Digitalt gavekort - 400 DKK"
"";"71773";"71779";"EAN71779";"500 DKK";".";"Digitalt gavekort - 500 DKK"
"";"71773";"71780";"EAN71780";"650 DKK";".";"Digitalt gavekort - 650 DKK"
"";"71773";"71781";"EAN71781";"750 DKK";".";"Digitalt gavekort - 750 DKK"
"";"71773";"71782";"EAN71782";"800 DKK";".";"Digitalt gavekort - 800 DKK"
"";"71773";"71783";"EAN71783";"900 DKK";".";"Digitalt gavekort - 900 DKK"
"182-1515";"71784";"71791";"5713541053835";"38-40";".";"Zoey - Skind Shorts MOLLY Sort - 38/40"
"182-1515";"71784";"71792";"5713541053842";"42-44";".";"Zoey - Skind Shorts MOLLY Sort - 42/44"
"CS5690-362 RICH TAN";"71785";"75240";"5712884801356";"36";".";"Copenhagen Shoes - Støvler ELEMENT HIGH  RICH TAN - 36"
"CS5690-362 RICH TAN";"71785";"75241";"5712884801363";"37";".";"Copenhagen Shoes - Støvler ELEMENT HIGH  RICH TAN - 37"
"CS5690-362 RICH TAN";"71785";"75242";"5712884801370";"38";".";"Copenhagen Shoes - Støvler ELEMENT HIGH  RICH TAN - 38"
"CS5690-362 RICH TAN";"71785";"75243";"5712884801387";"39";".";"Copenhagen Shoes - Støvler ELEMENT HIGH  RICH TAN - 39"
"CS5690-362 RICH TAN";"71785";"75244";"5712884801394";"40";".";"Copenhagen Shoes - Støvler ELEMENT HIGH  RICH TAN - 40"
"CS5690-362 RICH TAN";"71785";"75245";"5712884801400";"41";".";"Copenhagen Shoes - Støvler ELEMENT HIGH  RICH TAN - 41"
"212-8959-302";"71786";"75655";"5713541141280";"38-40";".";"Zoey - Bluse KENIA Stone Blue - 38/40"
"212-8959-302";"71786";"75656";"5713541141297";"42-44";".";"Zoey - Bluse KENIA Stone Blue - 42/44"
"212-8959-302";"71786";"75657";"5713541141303";"46-48";".";"Zoey - Bluse KENIA Stone Blue - 46/48"
"212-8959-302";"71786";"75658";"5713541141310";"50-52";".";"Zoey - Bluse KENIA Stone Blue - 50/52"
"213-3710-000";"71788";"75659";"5713541150916";"38-40";".";"Zoey - Bukser HANA Black - 38/40"
"213-3710-000";"71788";"75660";"5713541150923";"42-44";".";"Zoey - Bukser HANA Black - 42/44"
"213-3710-000";"71788";"75661";"5713541150930";"46-48";".";"Zoey - Bukser HANA Black - 46/48"
"213-3710-000";"71788";"75662";"5713541150947";"50-52";".";"Zoey - Bukser HANA Black - 50/52"
"4008";"71793";"71799";"4009";"85-CM";".";"New Brand Paris - Bælte Rosa snake - 85 cm"
"4008";"71793";"71800";"4010";"95-CM";".";"New Brand Paris - Bælte Rosa snake - 95 cm"
"1030-1-1-1410";"71794";"73020";"EAN73020";"W34-L86";".";"ASP Jeans - Jeans ELISE Light Blue used - W34/L86"
"1030-1-1-1410";"71794";"73021";"1030-1-14101";"W36-L80";".";"ASP Jeans - Jeans ELISE Light Blue used - W36/L80"
"1030-1-1-1410";"71794";"73022";"1030-1-14102";"W38-L80";".";"ASP Jeans - Jeans ELISE Light Blue used - W38/L80"
"1030-1-1-1410";"71794";"73023";"1030-1-14108";"W38-L86";".";"ASP Jeans - Jeans ELISE Light Blue used - W38/L86"
"1030-1-1-1410";"71794";"73024";"1013-1-14103";"W40-L80";".";"ASP Jeans - Jeans ELISE Light Blue used - W40/L80"
"1030-1-1-1410";"71794";"73025";"1030-1-14109";"W40-L86";".";"ASP Jeans - Jeans ELISE Light Blue used - W40/L86"
"1030-1-1-1410";"71794";"73026";"1030-1-14104";"W42-L80";".";"ASP Jeans - Jeans ELISE Light Blue used - W42/L80"
"1030-1-1-1410";"71794";"73027";"1030-1-141010";"W42-L86";".";"ASP Jeans - Jeans ELISE Light Blue used - W42/L86"
"1030-1-1-1410";"71794";"73028";"1030-1-14105";"W44-L80";".";"ASP Jeans - Jeans ELISE Light Blue used - W44/L80"
"1030-1-1-1410";"71794";"73029";"1030-1-141011";"W44-L86";".";"ASP Jeans - Jeans ELISE Light Blue used - W44/L86"
"1030-1-1-1410";"71794";"73030";"1030-1-14106";"W46-L80";".";"ASP Jeans - Jeans ELISE Light Blue used - W46/L80"
"1020-1-17";"71795";"74512";"5740010600016";"W36-L78";".";"ASP Jeans - Jeans NET Night Blue - W36/L78"
"1020-1-17";"71795";"74513";"5740010600023";"W38-L78";".";"ASP Jeans - Jeans NET Night Blue - W38/L78"
"1020-1-17";"71795";"74514";"5740010600085";"W38-L84";".";"ASP Jeans - Jeans NET Night Blue - W38/L84"
"1020-1-17";"71795";"74515";"5740010600030";"W40-L78";".";"ASP Jeans - Jeans NET Night Blue - W40/L78"
"1020-1-17";"71795";"74516";"5740010600092";"W40-L84";".";"ASP Jeans - Jeans NET Night Blue - W40/L84"
"1020-1-17";"71795";"74517";"5740010600047";"W42-78";".";"ASP Jeans - Jeans NET Night Blue - W42/78"
"1020-1-17";"71795";"74518";"5740010600108";"W42-L84";".";"ASP Jeans - Jeans NET Night Blue - W42/L84"
"1020-1-17";"71795";"74520";"5740010600115";"W44-84";".";"ASP Jeans - Jeans NET Night Blue - W44/84"
"1020-1-17";"71795";"74519";"5740010600054";"W44-L78";".";"ASP Jeans - Jeans NET Night Blue - W44/L78"
"1020-1-17";"71795";"74521";"5740010600061";"W46-L78";".";"ASP Jeans - Jeans NET Night Blue - W46/L78"
"10608-1-1410";"71796";"72895";"10608-1-14101";"W34-L80";".";"ASP Jeans - Jeans SASHMAL Light blue used - W34/L80"
"10608-1-1410";"71796";"72896";"10608-1-14108";"W34-L86";".";"ASP Jeans - Jeans SASHMAL Light blue used - W34/L86"
"10608-1-1410";"71796";"72898";"10608-1-14102";"W36-L80";".";"ASP Jeans - Jeans SASHMAL Light blue used - W36/L80"
"10608-1-1410";"71796";"72897";"10608-1-14109";"W36-L86";".";"ASP Jeans - Jeans SASHMAL Light blue used - W36/L86"
"10608-1-1410";"71796";"72899";"10608-1-14103";"W38-L80";".";"ASP Jeans - Jeans SASHMAL Light blue used - W38/L80"
"10608-1-1410";"71796";"72900";"10608-1-141010";"W38-L86";".";"ASP Jeans - Jeans SASHMAL Light blue used - W38/L86"
"10608-1-1410";"71796";"72901";"10608-1-14104";"W40-L80";".";"ASP Jeans - Jeans SASHMAL Light blue used - W40/L80"
"10608-1-1410";"71796";"72902";"10608-1-141011";"W40-L86";".";"ASP Jeans - Jeans SASHMAL Light blue used - W40/L86"
"10608-1-1410";"71796";"72903";"10608-1-14105";"W42-L80";".";"ASP Jeans - Jeans SASHMAL Light blue used - W42/L80"
"10608-1-1410";"71796";"72904";"10608-1-14106";"W44-L80";".";"ASP Jeans - Jeans SASHMAL Light blue used - W44/L80"
"10608-1-1410";"71796";"72905";"10608-1-14107";"W46-L80";".";"ASP Jeans - Jeans SASHMAL Light blue used - W46/L80"
"10601-1-1710";"71797";"73004";"10601-1-17108";"W34-L80";".";"ASP Jeans - Jeans SELMA Dark Blue - W34/L80"
"10601-1-1710";"71797";"73017";"10601-1-17101";"W34-L86";".";"ASP Jeans - Jeans SELMA Dark Blue - W34/L86"
"10601-1-1710";"71797";"73009";"10601-1-17102";"W36-L80";".";"ASP Jeans - Jeans SELMA Dark Blue - W36/L80"
"10601-1-1710";"71797";"73005";"10601-1-17109";"W36-L86";".";"ASP Jeans - Jeans SELMA Dark Blue - W36/L86"
